,price,mid,std,lower,upper,bollinger,buy_sig,sell_sig
2010-03-16 16:00:00,565.20000000000005,550.54049999999984,17.482479793702133,533.05802020629767,568.02297979370201,0.83852520769285421,,
2010-03-17 16:00:00,565.55999999999995,551.90799999999967,17.536800284287519,534.37119971571212,569.44480028428723,0.77847724662931128,,
2010-03-18 16:00:00,566.39999999999998,553.06699999999978,17.697634424152934,535.36936557584681,570.76463442415275,0.75337752382340539,,
2010-03-19 16:00:00,560.0,554.02899999999977,17.515428356930787,536.51357164306899,571.54442835693055,0.34089945608652666,,
2010-03-22 16:00:00,557.5,554.76399999999978,17.326838445796497,537.43716155420327,572.09083844579629,0.15790532176768651,,
2010-03-23 16:00:00,549.0,555.4604999999998,16.764365552230934,538.69613444776883,572.22486555223077,-0.38537098107718487,,
2010-03-24 16:00:00,557.33000000000004,556.7534999999998,15.785318053591586,540.96818194640821,572.5388180535914,0.036521278699802193,,
2010-03-25 16:00:00,562.88,558.57599999999979,14.115945220710678,544.46005477928907,572.69194522071052,0.30490342181871349,,
2010-03-26 16:00:00,562.69000000000005,560.37049999999977,11.98407824224039,548.38642175775942,572.35457824224011,0.19354846932029587,,
2010-03-29 16:00:00,562.45000000000005,561.85849999999982,10.059234707228303,551.79926529277157,571.91773470722808,0.058801689911379372,,
2010-03-30 16:00:00,566.71000000000004,563.14099999999985,8.8277051318638655,554.31329486813593,571.96870513186377,0.40429533459582551,,
2010-03-31 16:00:00,567.12,564.23099999999988,7.7971708094605905,556.43382919053931,572.02817080946045,0.37051900883007399,,
2010-04-01 16:00:00,568.79999999999995,564.94149999999979,7.5147302889825367,557.4267697110173,572.45623028898228,0.51345821494846855,,
2010-04-05 16:00:00,571.00999999999999,565.28149999999982,7.6327957732493026,557.64870422675051,572.91429577324914,0.75051136833463694,,
2010-04-06 16:00:00,568.22000000000003,565.56849999999974,7.6298267035799618,557.93867329641978,573.19832670357971,0.34751772261828473,,
2010-04-07 16:00:00,563.53999999999996,565.73599999999965,7.5418002876897772,558.19419971230991,573.27780028768939,-0.29117716145097888,,
2010-04-08 16:00:00,567.49000000000001,565.28799999999967,7.1265586291843563,558.16144137081528,572.41455862918406,0.30898503956493245,,
2010-04-09 16:00:00,566.22000000000003,564.54199999999969,6.0845850094617946,558.45741499053793,570.62658500946145,0.27577887356179187,,
2010-04-12 16:00:00,572.73000000000002,564.20149999999956,5.3469413539606423,558.85455864603887,569.54844135396024,1.5950240399930968,,1.0
2010-04-13 16:00:00,586.76999999999998,565.38099999999963,7.3401390350089768,558.04086096499066,572.7211390350086,2.9139775006965101,,
2010-04-14 16:00:00,589.0,566.57099999999957,9.0413598767963812,557.52964012320319,575.61235987679595,2.4807109003106822,,
2010-04-15 16:00:00,595.29999999999995,568.05799999999954,11.081723977634253,556.97627602236525,579.13972397763382,2.4582817668967145,,
2010-04-16 16:00:00,550.14999999999998,567.24549999999954,11.783199223812721,555.46230077618679,579.02869922381228,-1.4508368801446714,1.0,
2010-04-19 16:00:00,550.10000000000002,566.75049999999953,12.300197463140629,554.45030253685889,579.05069746314018,-1.3536774551705539,,
2010-04-20 16:00:00,555.03999999999996,566.6274999999996,12.409384765720887,554.21811523427868,579.03688476572052,-0.93376909643485406,,
2010-04-21 16:00:00,554.29999999999995,566.89249999999959,12.064950923649855,554.82754907634978,578.95745092364939,-1.0437257540199081,1.0,
2010-04-22 16:00:00,547.05999999999995,566.37899999999956,12.695442157704116,553.6835578422955,579.07444215770363,-1.5217272277733198,,
2010-04-23 16:00:00,544.99000000000001,565.48449999999957,13.556032828717402,551.92846717128214,579.04053282871701,-1.5118361145145323,,
2010-04-26 16:00:00,531.63999999999999,563.93199999999956,15.52754821872661,548.404451781273,579.45954821872613,-2.0796586521660014,,
2010-04-27 16:00:00,529.05999999999995,562.26249999999948,17.379821595313473,544.88267840468598,579.64232159531298,-1.9104051107724085,,
2010-04-28 16:00:00,529.19000000000005,560.3864999999995,18.838270474603284,541.54822952539621,579.22477047460279,-1.6560172040239491,,
2010-04-29 16:00:00,532.0,558.63049999999953,19.790363012298261,538.84013698770127,578.42086301229779,-1.3456296877147036,,
2010-04-30 16:00:00,525.70000000000005,556.47549999999956,20.93804079585707,535.53745920414246,577.41354079585665,-1.4698366623723906,,
